path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section001',	0.501347,	Z_NEG,	1.45086,	228.315,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section002',	0.510965,	X_NEG,	1.41927,	334.559,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section002',	0.510965,	Y_NEG,	1.43861,	312.243,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section002',	0.510965,	Z_NEG,	1.41931,	244.534,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section003',	0.510137,	X_NEG,	1.40919,	233.108,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section003',	0.510137,	Y_NEG,	1.41672,	290.543,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section003',	0.510137,	Z_NEG,	1.43616,	201.602,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section004',	0.50156,	X_NEG,	1.43672,	269.829,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section004',	0.50156,	Y_NEG,	1.41452,	189.942,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section004',	0.50156,	Z_NEG,	1.44697,	260.295,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section005',	0.513641,	X_NEG,	1.41545,	254.016,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section005',	0.513641,	Y_NEG,	1.42037,	210.867,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section005',	0.513641,	Z_NEG,	1.42046,	227.205,	296,	296,	220,	BICGSTABCPU
